time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-5.89360620958e-07,5.12958122725e-07,0.00648315751396,0.000384401724406,0.000429100450599,0.0,-4.8649460951e-05,4.2831214954e-05,0.216088538696,0.0168535821596,0.0185790280625,0.0,470.67831803644685,472.1136562341231,472.5541286224553,473.8511888682823
0.12000000000000001,-1.70226523877e-05,1.50713962575e-05,0.0229260554878,0.00116847781856,0.00163581031125,0.0,-0.000620419655518,0.000537520496018,0.331980642999,0.00415250516384,0.0230133222012,0.0,442.3577105077137,442.7226239226435,441.9393711617701,440.89131844653053
0.18,-9.88580188659e-05,7.61994643682e-05,0.048796690251,0.00159883750876,0.0026713900168,0.0,-0.00225237408409,0.00154029398903,0.530301982308,0.0126162096758,0.00211269798053,0.0,468.8835898851195,467.25722777619654,465.9982733653833,466.6591922219509
0.23999999999999996,-0.000308260622321,0.00021618683447,0.0903774234888,0.00209231384537,0.0030620489692,0.0,-0.00476384808414,0.00321281904176,0.855536462179,-0.00245070561137,0.0141087217674,0.0,503.45479471915144,504.32177624206355,503.97403038640505,502.8838883851115
0.3,-0.000664289040718,0.00045461248699,0.145647788079,0.00268403692437,0.00443494040124,0.0,-0.00722612115959,0.0047659788308,0.986704111284,0.0271743436612,0.0363159749641,0.0,445.69898317188495,447.5100993087356,447.06772627234017,449.4747150530698
0.36000000000000004,-0.00120573429566,0.000807548212496,0.209507956665,0.00461216863911,0.00643824927123,0.0,-0.0110525621547,0.00719576512316,1.14182400011,0.0405625251434,0.0267764164412,0.0,454.85461131671684,454.09050226981344,455.0855028005149,456.1560999057667
0.4200000000000001,-0.00203086999191,0.00136094236055,0.284408878662,0.00684565721688,0.00803210918544,0.0,-0.0166403746899,0.0115277389774,1.35464282695,0.0295383089969,0.0261368137005,0.0,473.15885076322087,473.1097192894369,472.58004848289283,471.7301781221185
0.48000000000000015,-0.00322269081891,0.00221932761682,0.371251754789,0.00816797793339,0.00972127747926,0.0,-0.0232720518164,0.0172693645327,1.53988560942,-0.000456327110822,0.0319067569162,0.0,464.560329537869,465.01266555724976,466.3198729039866,463.9711606019697
0.5400000000000001,-0.00481322716387,0.00341221978978,0.465187887573,0.00812935242234,0.0122445182766,0.0,-0.0299604746909,0.0224899761626,1.59124613716,-0.00102131292237,0.0570681848668,0.0,422.26352162059106,424.42933823250416,423.8410937563115,423.7925520945686
0.6000000000000002,-0.00693176558629,0.00496373666649,0.567913251417,0.00793934549706,0.0152327799822,0.0,-0.041055345338,0.029209344279,1.83257230691,-0.00784619065714,0.0284651356919,0.0,483.8795351783466,481.722888026535,481.6261153314291,481.10976068603327
0.6600000000000003,-0.00971188032524,0.00687587392094,0.680544088445,0.00728880598671,0.0174197237523,0.0,-0.0518118812495,0.0344718842684,1.92164021485,-0.0176326711958,0.0489253638861,0.0,435.7678312967292,437.4752921288208,437.2778545832653,436.46201149727233
0.7200000000000003,-0.0131820998599,0.0090868206051,0.798308609473,0.00601355801141,0.0202808244034,0.0,-0.0641476475381,0.0391105692177,2.00369846847,-0.0297121908969,0.0450820686684,0.0,435.5226665118306,435.20254455615463,434.81492917255906,433.80180869035564
0.7800000000000004,-0.0174008612821,0.0115346230793,0.918671515405,0.00428713975341,0.0228125570135,0.0,-0.0767084049098,0.0423285299132,2.00838557812,-0.0269599645175,0.0356890475668,0.0,409.8973939449149,409.06296311643985,409.70979430849735,409.9540938726261
0.8400000000000004,-0.0224395022355,0.0141492811645,1.04030654299,0.00275509712715,0.0247453153751,0.0,-0.0914348642126,0.0446804121452,2.04604400663,-0.0228250639275,0.0241521556047,0.0,421.3884523754899,420.3904564285125,420.41089747018066,420.76883732007553
0.9000000000000005,-0.0284143294123,0.0168788419439,1.16494570377,0.00126773233136,0.025902256245,0.0,-0.107851391018,0.0461671463005,2.10847779731,-0.0290393813792,0.00712855241118,0.0,429.3508171036545,427.9041207646533,429.66693310327054,429.13966597065127
0.9600000000000005,-0.0355183745651,0.0196718811198,1.29809408885,6.28226676225,0.0271690971282,0.0,-0.129051739893,0.0467068636816,2.32937471125,-0.0584273199222,0.0400510941751,0.0,476.94013586170007,479.4478888570958,478.7729224847075,476.53116192960766
1.0200000000000005,-0.0438730857185,0.022439586547,1.44233788519,6.27885967539,0.0294301884548,0.0,-0.149685574372,0.0451729789739,2.47843163782,-0.0536881694011,0.0324753195864,0.0,458.46956866588,457.8679023731522,456.4864669468989,456.8623526390819
1.0800000000000005,-0.0534492884404,0.0250516527052,1.5933224046,6.27531341096,0.031950983932,0.0,-0.169741126417,0.0415667388488,2.55420938679,-0.0730575877115,0.0563391643013,0.0,435.3147497631653,437.30798102153267,434.9565803762423,433.3287354403563
1.1400000000000006,-0.0642702409451,0.0273763908982,1.74842189242,6.27119821704,0.0357779768369,0.0,-0.191303002284,0.0355177901744,2.61561764228,-0.0608837889885,0.0755801674148,0.0,430.1816772920846,431.8108738094482,430.4853885443515,431.51049017716986
1.2000000000000006,-0.0765489063562,0.029230631281,1.909541676,6.26745690811,0.0400207773854,0.0,-0.218449787792,0.025896343063,2.75469109025,-0.0654718779016,0.0585762475658,0.0,455.287016559301,453.9281768582554,457.10514219427483,456.7366799699149
1.2600000000000007,-0.0903662409296,0.0304973336209,2.07460693275,6.26372521221,0.0434946561947,0.0,-0.242430303016,0.0159977282505,2.74748037777,-0.0563389768351,0.0565063319671,0.0,409.55824676619994,409.37673632923185,408.8384974874274,409.648237436088
